species,genus,family,stomatal density,Stomatal length/size,plant functional group/1-tree/2-shrub/3-herb
Molineria_capitulata,Molineria,Hypoxidaceae,44.71964224,31.91029,3
Calanthe_discolor,Calanthe,Orchidaceae,61.91950464,29.22590611,3
Dalbergia_rimosa,Dalbergia,Fabaceae,161.6787066,21.0965069,2
Neolamarckia_cadamba,Neolamarckia,Rubiaceae,319.9174407,25.502532,1
Thysanolaena_latifolia,Thysanolaena,Poaceae,82.55933953,34.8305413,3
Litsea_elongata,Litsea,Lauraceae,202.9583763,19.22304133,1
Ficus_drupacea,Ficus,Moraceae,182.3185415,44.47684533,1
Lindera_metcalfiana,Lindera,Lauraceae,223.5982112,24.50457,2
Semecarpus_reticulatus,Semecarpus,Anacardiaceae,75.67939456,42.56891286,1
Ficus_auriculata,Ficus,Moraceae,729.2741658,16.39038367,1
Debregeasia_longifolia,Debregeasia,Urticaceae,904.7127623,20.587315,1
Schefflera_heptaphylla,Schefflera,Araliaceae,209.8383213,48.46235633,1
Ficus_virens,Ficus,Moraceae,244.2380461,28.18453567,1
Drypetes_hoaensis,Drypetes,Putranjivaceae,251.1179911,21.633657,1
Caesalpinia_cucullata,Caesalpinia,Fabaceae,196.0784314,19.508025,3
Actinodaphne_henryi,Actinodaphne,Lauraceae,247.6780186,22.57665333,1
Crassocephalum_crepidioides,Crassocephalum,Asterales,147.9188166,37.782516,3
Plantago_depressa,Plantago,Plantaginaceae,209.8383213,26.80726367,3
Baccaurea_ramiflora,Baccaurea,Phyllanthaceae,99.75920193,22.0887187,1
Fissistigma_maclure,Fissistigma,Annonaceae,110.0791194,19.24793172,2
Grewia_chungii,Grewia,Malvaceae,952.872377,14.177827,1
Phlogacanthus_curviflorus,Phlogacanthus,Acanthaceae,189.1984864,37.12760931,2
Sumbaviopsis_albicans,Sumbaviopsis,Euphorbiaceae,457.5163399,25.38873533,1
Miliusa_sinensis,Miliusa,Annonaceae,178.878569,27.67023481,1
Byttneria_aspera,Byttneria,Malvaceae,553.8355693,19.12554433,3
Artocarpus_tonkinensis,Artocarpus,Moraceae,161.6787066,21.99091567,1
Sterculia_brevissima,Sterculia,Malvaceae,178.878569,20.625486,1
Cinnamomum_bejolghota,Cinnamomum,Lauraceae,74.30340557,19.21924714,1
Aegopodium_latifolium,Aegopodium,Apiaceae,123.8390093,20.22215621,3
Ventilago_denticulata,Ventilago,Rhamnaceae,361.1971104,16.008442,2
Toona_ciliata,Toona,Meliaceae,832.4733402,15.133383,1
Caryota_urens,Caryota,Arecaceae,92.87925697,39.4961365,1
Rhaphidophora_megaphylla,Rhaphidophora,Araceae,37.83969728,34.08528364,3
Dichapetalum_gelonioides,Dichapetalum,Dichapetalaceae,264.877881,23.96528167,1
Elaeocarpus_varunua,Elaeocarpus,Elaeocarpaceae,275.1977984,15.93104267,1
Cornus_controversa,Cornus,Cornaceae,82.55933953,19.01978,1
Mycetia_brevisepala,Mycetia,Rubiaceae,144.4788442,26.2717544,2
Amischotolype_hispida,Amischotolype,Commelinaceae,51.5995872,35.31658545,3
Aegopodium_latifolium,Aegopodium,Apiaceae,381.8369453,24.12184967,3
Glycosmis_pentaphylla,Glycosmis,Rutaceae,233.9181287,17.058211,1
Aporosa_villosa,Aporosa,Phyllanthaceae,388.7168903,18.02329367,2
Elaeocarpus_obtusus,Elaeocarpus,Elaeocarpaceae,NA,NA,1
Lasiococca_comberi,Lasiococca,Euphorbiaceae,347.4372205,17.46337067,1
Roureopsis_emarginata,Roureopsis,Connaraceae,546.9556244,19.64174333,2
Centipeda_minima,Centipeda,Asterales,144.4788442,26.81168966,3
Aralia_thomsonii,Aralia,Araliaceae,715.5142759,16.37858367,2
Bauhinia_wallichii,Bauhinia,Fabaceae,158.2387341,22.49976933,3
Schima_wallichii,Schima,Theaceae,488.4760922,24.29330033,1
Bischofia_javanica,Bischofia,Phyllanthaceae,550.3955968,17.416348,1
Ziziphus_jujuba,Ziziphus,Rhamnaceae,436.876505,16.77513567,1
Neonauclea_tsaiana,Neonauclea,Rubiaceae,189.1984864,30.38675414,1
Horsfieldia_kingii,Horsfieldia,Myristicaceae,130.7189542,24.54429462,1
Aidia_yunnanensis,Aidia,Rubiaceae,271.7578259,20.24187467,2
Aphananthe_cuspidata,Aphananthe,Cannabaceae,918.4726522,23.88181333,1
Psychotria_calocarpa,Psychotria,Rubiaceae,72.23942208,27.92495,2
Dysoxylum_densiflorum,Dysoxylum,Meliaceae,75.67939456,28.26005,1
Saurauia_cerea,Saurauia,Actinidiaceae,178.878569,24.95153143,1
Fissistigma_minuticalyx,Fissistigma,Annonaceae,154.7987616,21.70501267,2
NA,NA,NA,58.47953216,44.78004333,3
Machilus_tenuipilis,Machilus,Lauraceae,113.5190918,20.04985958,1
Orophea_hainanensis,Orophea,Annonaceae,405.9167527,23.16193467,1
Glochidion_ellipticum,Glochidion,Phyllanthaceae,237.3581011,19.25014667,1
Tetrastigma_cruciatum,Tetrastigma,Vitaceae,106.6391469,27.5618715,3
Mitrephora_maingayi,Mitrephora,Annonaceae,333.6773306,21.308592,1
Premna_scandens,Premna,Lamiaceae,244.2380461,15.941819,3
Schizomussaenda_henryi,Schizomussaenda,Rubiaceae,292.3976608,23.79383167,2
Debregeasia_squamata,Debregeasia,Urticaceae,89.43928449,13.78641583,2
Planchonella_grandifolia,Planchonella,Sapotaceae,395.5968352,14.36600433,1
Memecylon_caeruleum,Memecylon,Melastomataceae,350.877193,18.42933033,2
Macropanax_dispermus,Macropanax,Araliaceae,288.9576883,20.499437,1
Canthium_simile,Canthium,Rubiaceae,374.9570003,22.12996433,2
Garcinia_xanthochymus,Garcinia,Clusiaceae,354.3171655,21.87065033,1
Uncaria_macrophylla,Uncaria,Rubiaceae,608.875129,19.253097,3
Spatholobus_uniauritus,Spatholobus,Fabaceae,199.5184039,23.33043267,3
Elaeocarpus_sylvestris,Elaeocarpus,Elaeocarpaceae,278.6377709,20.28402667,1
Alchornea_tiliifolia,Alchornea,Euphorbiaceae,120.3990368,18.81648321,2
Markhamia_stipulata,Markhamia,Bignoniaceae,151.3587891,16.67471448,1
Aegopodium_latifolium,Aegopodium,Apiaceae,354.3171655,19.50030033,3
Nothapodytes_nimmoniana,Nothapodytes,Icacinaceae,96.31922945,27.6037015,1
Trevesia_palmata,Trevesia,Araliaceae,92.87925697,24.00585905,1
Acanthus_leucostachyus,Acanthus,Acanthaceae,75.67939456,28.24955,3
Pseuduvaria_trimera,Pseuduvaria,Annonaceae,450.6363949,22.16747067,1
Heliciopsis_henryi,Heliciopsis,Proteaceae,368.0770554,17.295784,1
Cinnamomum_chartophyllum,Cinnamomum,Lauraceae,326.7973856,19.968519,1
Ficus_semicordata,Ficus,Moraceae,915.0326797,14.325235,1
Benkara_sinensis,Benkara,Rubiaceae,402.4767802,23.62535467,2
Syzygium_oblatum,Syzygium,Myrtaceae,584.7953216,19.17178933,1
Ardisia_thyrsiflora,Ardisia,Primulaceae,113.5190918,21.54834071,2
Triadica_cochinchinensis,Triadica,Euphorbiaceae,326.7973856,22.388176,1
Drypetes_perreticulata,Drypetes,Putranjivaceae,471.2762298,22.52439933,1
Meliosma_kirkii,Meliosma,Sabiaceae,123.8390093,26.6828625,1
Pothos_scandens,Pothos,Araceae,127.2789818,19.9443396,3
Duperrea_pavettifolia,Duperrea,Rubiaceae,285.5177159,30.04206267,2
Lasianthus_verticillatus,Lasianthus,Rubiaceae,82.55933953,25.46288667,2
Ficus_hirta,Ficus,Moraceae,423.1166151,12.021886,2
Gomphandra_tetrandra,Gomphandra,Stemonuraceae,254.5579635,21.01268833,2
Garuga_pierrei,Garuga,Burseraceae,591.6752666,16.31967667,1
